Date,City,State,Lat,Lon,AreaType,School,Fatalities,Wounded,Dupe,Source,Desc,Year
6/28/2000,Seattle,Washington,47.6062095,-122.3320708,urban,C,2,,,Pah,,2000
7/26/2000,Canton,Ohio,40.7989473,-81.378447,urban,HS,1,,,Pah,,2000
8/28/2000,Fayetteville,Arkansas,36.082156,-94.1718542,urban,C,2,,TRUE,Pah,,2000
9/5/2000,Bidwell,Ohio,38.9186892,-82.2990401,suburban,ES,2,,,Pah,,2000
9/26/2000,New Orleans,Louisiana,29.9510658,-90.0715323,urban,MS,0,,TRUE,Pah,,2000
10/23/2000,Los Angeles,California,34.0522342,-118.2436849,urban,C,1,,,Pah,,2000
10/26/2000,Brooklyn,New York,40.6781784,-73.9441579,urban,HS,1,,,Pah,,2000
10/27/2000,Memphis,Tennessee,35.1495343,-90.0489801,urban,HS,1,,,Pah,,2000
12/1/2000,Granada Hills,California,34.2793576,-118.5021527,urban,HS,0,,TRUE,Pah,,2000
1/10/2001,Oxnard,California,34.1975048,-119.1770516,urban,HS,1,,,Pah,,2001
1/17/2001,Baltimore,Maryland,39.2903848,-76.6121893,urban,HS,1,,,Pah,,2001
1/29/2001,Arlington,Texas,32.735687,-97.1080656,urban,MS,1,,,Pah,,2001
3/2/2001,San Diego,California,32.715738,-117.1610838,urban,HS,0,,,Pah,,2001
3/5/2001,Santee,California,32.8383828,-116.9739167,urban,HS,2,,TRUE,Pah,,2001
3/7/2001,Williamsport,Pennsylvania,41.2411897,-77.0010786,urban,HS,0,,TRUE,Pah,,2001
3/22/2001,El Cajon,California,32.7947731,-116.9625269,urban,HS,0,,TRUE,Pah,,2001
3/30/2001,Gary,Indiana,41.5933696,-87.3464271,urban,HS,1,,TRUE,Pah,,2001
4/3/2001,Klein,Texas,30.0477196,-95.5324411,urban,MS,0,,,Pah,,2001
4/25/2001,Cleveland,Ohio,41.49932,-81.6943605,urban,HS,1,,,Pah,,2001
5/15/2001,Ennis,Texas,32.3293111,-96.6252679,suburban,HS,0,,,Pah,,2001
5/16/2001,Parkland,Washington,47.1558,-122.437,,C,2,0,,Wikp,40-year-old music instructor and organist James D. Holloway was shot multiple times with a .22-caliber handgun at Pacific Lutheran University by a 55-year-old man from Tacoma. The shooter was not a student or employee of the university and also killed himself. The victim was apparently chosen at random as the shooter had a personal dispute with a different staff member who was not on campus that day.[323],2001
5/17/2001,Pierce County,Washington,47.0675877,-122.1295269,urban,C,1,,,Pah,,2001
10/12/2001,Taylorsville,Utah,40.6677248,-111.9388258,urban,HS,0,,,Pah,,2001
11/12/2001,Caro,Michigan,43.4911322,-83.396897,suburban,HS,0,,,Pah,,2001
1/15/2002,New York City,New York,40.7127753,-74.0059728,urban,HS,0,,TRUE,Pah,,2002
1/16/2002,Gundy,Virginia,37.2778886,-82.0990223,rural,C,3,,TRUE,Pah,,2002
2/20/2002,Milwaukee,Wisconsin,43.0115,-87.9735,,HS,1,0,,Wikp,"16-year-old Washington High School student, Joseph Johnson Jr., was killed by Phillip D. Jackson Jr., when violence erupts between rival fans in the parking lot, after a basketball game between Vincent High School.[329]",2002
6/11/2002,Conception,Missouri,40.2428,-94.6869,,-,3,2,,Wikp,"71-year-old Lloyd Robert Jeffress opened fire at random in the halls of Conception Abbey, a monastery in northwest Missouri.",2002
7/26/2002,Charlotte,North Carolina,35.2270869,-80.8431267,urban,MS,1,,,Pah,,2002
10/4/2002,San Antonio,Texas,29.4241219,-98.4936282,urban,MS,1,,,Pah,,2002
10/7/2002,Bowie,Maryland,39.0067768,-76.7791365,urban,MS,0,,TRUE,Pah,,2002
10/28/2002,Tucson,Arizona,32.2217429,-110.926479,urban,C,4,,TRUE,Pah,,2002
10/29/2002,Jersey City,New Jersey,40.7282,-74.0776,,HS,0,1,,Wikp,"A 15-year-old student was shot in the abdomen and wounded inside a basement of Lincoln High School, during an argument with another student. Another 15-year-old student was arrested and charged with attempted murder.[334]",2002
11/7/2002,Liberty,Missouri,39.2461138,-94.4191177,suburban,ES,1,,,Pah,,2002
12/16/2002,Chicago,Illinois,41.8781136,-87.6297982,urban,HS,1,,,Pah,,2002
3/23/2003,Meridian,Mississippi,32.3643098,-88.703656,suburban,HS,0,,,Pah,,2003
4/10/2003,Walnut,California,34.0202894,-117.8653386,suburban,HS,0,,,Pah,,2003
4/14/2003,New Orleans,Louisiana,29.9510658,-90.0715323,urban,HS,1,,TRUE,Pah,,2003
4/17/2003,Addison,Texas,32.96179,-96.8291685,suburban,ES,1,,,Pah,,2003
4/24/2003,Red Lion,Pennsylvania,39.9009334,-76.6058001,suburban,MS,1,,TRUE,Pah,,2003
5/9/2003,Cleveland,Ohio,41.49932,-81.6943605,urban,C,1,,TRUE,Pah,,2003
5/13/2003,Johnstown,Pennsylvania,40.3267407,-78.9219698,urban,HS,1,,,Pah,,2003
6/4/2003,Wellsboro,Pennsylvania,41.7486838,-77.3005304,suburban,MS,0,,,Pah,,2003
